player_name,category,temp_filename,original_url
Cade Cunningham,freethrow,0042400126_59.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/59/6e1d3524-c51e-6696-bfef-456a848c6f57_1280x720.mp4
Cade Cunningham,freethrow,0042400126_62.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/62/3cfa0c66-0699-2959-394b-9bb3269c3b06_1280x720.mp4
Cade Cunningham,freethrow,0042400126_91.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/91/73edcc1a-6426-3b8e-0cc9-63a1dd0eb7e0_1280x720.mp4
Cade Cunningham,freethrow,0042400126_92.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/92/8d1c1a71-a059-fab7-2387-db75e59b6373_1280x720.mp4
Cade Cunningham,freethrow,0042400126_97.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/97/a0c97842-27c7-282e-ca4e-81e69c60c277_1280x720.mp4
Cade Cunningham,freethrow,0042400126_101.mp4,https://videos.nba.com/nba/pbp/media/2025/05/01/0042400126/101/d429ecfb-1852-ec49-b32c-6c0e1f911dec_1280x720.mp4
Cade Cunningham,freethrow,0042400124_530.mp4,https://videos.nba.com/nba/pbp/media/2025/04/27/0042400124/530/aeec2c72-6068-3e32-5f4e-7f56366ab1a3_1280x720.mp4
Cade Cunningham,freethrow,0042400124_536.mp4,https://videos.nba.com/nba/pbp/media/2025/04/27/0042400124/536/496daba3-d24f-70e9-4b72-e38e4b54d147_1280x720.mp4
Cade Cunningham,freethrow,0042400124_583.mp4,https://videos.nba.com/nba/pbp/media/2025/04/27/0042400124/583/8c41c6dc-5168-befc-2685-001192e71a74_1280x720.mp4
Cade Cunningham,freethrow,0042400124_584.mp4,https://videos.nba.com/nba/pbp/media/2025/04/27/0042400124/584/9435f7f9-7ea3-fb3c-422c-e71a7afc88de_1280x720.mp4
